,name,first,second,third,point
0,Field1_2017-07-16.png,12,27,42,132
1,Field1_2017-07-03.png,61,22,1,228
2,Field1_2017-07-23.png,26,45,12,180
3,Field1_2018-07-06.png,56,18,8,212
4,Field1_2018-06-26.png,3,15,16,55
5,Field1_2018-07-11.png,40,34,9,197
6,Field1_2019-07-13.png,34,25,24,176
7,Field1_2019-07-28.png,20,28,22,138
8,Field1_2019-07-31.png,28,26,20,156
9,Field1_2020-07-20.png,30,27,27,171
10,Field1_2020-08-04.png,32,16,25,153
11,Field1_2020-07-27.png,31,35,11,174
12,Field2_2017-08-07.png,55,16,10,207
13,Field2_2017-07-13.png,26,24,32,158
14,Field2_2017-07-18.png,9,42,31,142
15,Field2_2018-07-13.png,6,19,7,63
16,Field2_2018-07-18.png,6,27,34,106
17,Field2_2018-08-07.png,68,10,3,227
18,Field2_2019-07-13.png,68,13,4,234
19,Field2_2019-07-18.png,22,56,4,182
20,Field2_2019-07-28.png,5,9,61,94
21,Field2_2020-07-27.png,75,8,0,241
22,Field2_2020-07-12.png,1,6,10,25
23,Field2_2020-07-22.png,1,35,37,110
24,Field3_2018-07-06.png,54,22,3,209
25,Field3_2018-07-11.png,28,49,6,188
26,Field3_2018-07-21.png,5,8,46,77
27,Field3_2020-07-15.png,37,39,5,194
28,Field3_2020-07-10.png,8,20,36,100
29,Field3_2020-07-30.png,50,24,10,208
30,Field3_2021-07-10.png,44,38,2,210
31,Field3_2021-07-25.png,50,32,2,216
32,Field3_2021-07-15.png,0,14,63,91
33,Field1_2018-07-16.png,11,29,36,127
34,Field1_2019-07-01.png,10,11,12,64
35,Field2_2020-07-02.png,7,34,12,101
36,Field2_2020-08-11.png,6,18,20,74
37,Field3_2020-08-09.png,3,5,29,48
38,Field1_2017-07-18.png,1,8,13,32
39,Field2_2018-07-28.png,8,42,21,129
40,Field2_2018-08-12.png,7,6,11,44
41,Field1_2020-07-15.png,4,17,11,57
42,Field1_2018-07-21.png,1,6,7,22
43,Field3_2018-07-16.png,7,6,29,62
44,Field3_2021-07-30.png,0,2,8,12
45,Field2_2017-06-28.png,3,6,9,30
46,Field2_2019-06-28.png,0,11,8,30
47,Field1_2019-06-28.png,4,6,7,31
48,Field1_2018-07-26.png,2,2,11,21
49,Field1_2017-07-31.png,2,3,11,23
50,Field1_2020-07-05.png,4,4,6,26
51,Field2_2019-06-23.png,1,3,5,14
52,Field3_2021-08-14.png,0,4,9,17
